key,field,operator,value
fever-medication,patientState,==,caution
fever-medication,ageInMonths,>=,24
fever-medication,ageInMonths,<,192
fever-medication,medicationState,>=,caution
fever-medication,temperature,>=,38.5
dehydrated-infant,hydrationState,>=,caution
dehydrated-infant,ageInMonths,>=,0
dehydrated-infant,ageInMonths,<,18
dehydrated-child,hydrationState,>=,caution
dehydrated-child,ageInMonths,>=,18
dehydrated-child,ageInMonths,<,192
dehydrated-child,temperature,<,38.5
dehydrated-feverish-child,hydrationState,>=,caution
dehydrated-feverish-child,ageInMonths,>=,18
dehydrated-feverish-child,ageInMonths,<,192
dehydrated-feverish-child,temperature,>=,38.5
pale-child,skinState,==,caution
pale-child,temperature,<,38.5
pale-child,ageInMonths,>=,18
pale-child,ageInMonths,<,192
